[0, 0, 0] -585 368 126 368
[102, 102, 102] 126 368 158 368
[170, 170, 170] 158 368 197 368
[254, 175, 168] 197 368 199 368
[255, 255, 255] 199 368 302 368
[254, 175, 168] 302 368 304 368
[170, 170, 170] 304 368 343 368
[102, 102, 102] 343 368 374 368
[0, 0, 0] 374 368 1086 368
[0, 0, 0] -585 369 100 369
[1, 116, 32] 100 369 102 369
[102, 102, 102] 102 369 143 369
[170, 170, 170] 143 369 187 369
[254, 175, 168] 187 369 189 369
[255, 255, 255] 189 369 312 369
[254, 175, 168] 312 369 314 369
[170, 170, 170] 314 369 358 369
[102, 102, 102] 358 369 399 369
[1, 116, 32] 399 369 401 369
[0, 0, 0] 401 369 1086 369
[0, 0, 0] -585 370 67 370
[102, 102, 102] 67 370 96 370
[170, 170, 170] 96 370 137 370
[254, 175, 168] 137 370 141 370
[255, 255, 255] 141 370 360 370
[254, 175, 168] 360 370 364 370
[170, 170, 170] 364 370 406 370
[102, 102, 102] 406 370 433 370
[0, 0, 0] 433 370 1086 370
[0, 0, 0] -585 371 43 371
[1, 116, 32] 43 371 45 371
[102, 102, 102] 45 371 75 371
[170, 170, 170] 75 371 99 371
[255, 255, 255] 99 371 401 371
[170, 170, 170] 401 371 426 371
[102, 102, 102] 426 371 456 371
[1, 116, 32] 456 371 458 371
[0, 0, 0] 458 371 1086 371
[0, 0, 0] -585 372 18 372
[102, 102, 102] 18 372 41 372
[170, 170, 170] 41 372 71 372
[254, 175, 168] 71 372 74 372
[255, 255, 255] 74 372 427 372
[254, 175, 168] 427 372 430 372
[170, 170, 170] 430 372 461 372
[102, 102, 102] 461 372 482 372
[0, 0, 0] 482 372 1086 372
[0, 0, 0] -585 373 -1 373
[102, 102, 102] -1 373 25 373
[170, 170, 170] 25 373 43 373
[255, 255, 255] 43 373 457 373
[170, 170, 170] 457 373 476 373
[102, 102, 102] 476 373 501 373
[0, 0, 0] 501 373 581 373
[102, 102, 102] 581 373 585 373
[0, 0, 0] 585 373 1086 373
[0, 0, 0] -585 374 -20 374
[102, 102, 102] -20 374 -2 374
[170, 170, 170] -2 374 22 374
[254, 175, 168] 22 374 24 374
[255, 255, 255] 24 374 477 374
[254, 175, 168] 477 374 479 374
[170, 170, 170] 479 374 503 374
